Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att
"Christian Moore, UT",0.375,72-72,296,83,111,19,2,34,74,236,0.797,38,3,49,5,0.451,0,0,5-9
"Blake Burke, UT",0.379,72-72,285,74,108,30,1,20,61,200,0.702,35,2,48,3,0.449,1,0,11-13
"Gavin Grahovac, AM",0.298,67-67,285,83,85,16,0,23,66,170,0.596,36,7,95,3,0.39,0,0,4-5
"Tommy White, LS",0.33,66-66,279,61,92,12,1,24,70,178,0.638,27,7,38,10,0.401,1,0,3-3
"Slate Alford, UG",0.3,60-60,267,55,80,13,0,17,69,144,0.539,26,5,63,8,0.37,2,0,1-1
"Luke Heyman, UF",0.246,66-66,264,46,65,14,0,16,52,127,0.481,23,16,74,7,0.342,1,0,1-1
"Hayden Schott, AM",0.335,68-68,263,45,88,15,2,8,63,131,0.498,34,6,59,0,0.418,3,0,1-2
"Jace Laviolette, AM",0.305,68-68,259,87,79,16,3,29,78,188,0.726,64,7,81,3,0.449,4,0,7-9
"Colby Shelton, UF",0.254,66-66,256,60,65,14,1,20,56,141,0.551,35,16,82,1,0.374,3,1,6-8
"Billy Amick, UT",0.306,65-65,255,67,78,14,1,23,65,163,0.639,29,6,53,3,0.387,2,0,3-4
"Ali Camarillo, AM",0.288,68-68,250,50,72,13,1,7,36,108,0.432,34,6,59,4,0.384,2,1,9-10
"Tyler Shelnut, UF",0.261,65-65,249,45,65,19,0,16,52,132,0.53,32,7,88,3,0.36,1,1,4-4
"Hunter Hines, MS",0.257,63-63,249,41,64,9,0,16,56,121,0.486,33,2,74,4,0.346,2,0,0-0
"Jac Caglianone, UF",0.419,66-66,248,83,104,8,0,35,72,217,0.875,58,10,26,5,0.544,0,0,4-4
"Dylan Dreiling, UT",0.341,71-70,246,72,84,19,2,23,75,176,0.715,53,2,62,0,0.459,2,0,4-5
"Cade Kurland, UF",0.245,62-62,245,51,60,8,1,14,44,112,0.457,22,17,73,6,0.346,2,1,5-5
"Kavares Tears, UT",0.324,71-69,244,73,79,16,1,20,62,157,0.643,45,1,74,3,0.427,3,0,4-5
"RJ Austin, VU",0.335,60-60,242,49,81,14,2,5,54,114,0.471,23,7,38,2,0.402,4,1,28-33
"Dakota Jordan, MS",0.354,63-63,240,57,85,14,1,20,72,161,0.671,44,4,84,1,0.459,2,0,3-5
"Emilien Pitre, UK",0.301,62-62,239,57,72,20,1,10,58,124,0.519,47,5,38,7,0.42,4,0,26-35
"Wehiwa Aloy, AR",0.27,60-60,237,45,64,9,0,14,56,115,0.485,25,8,55,7,0.355,3,1,7-7
"Jackson Appel, AM",0.331,65-59,236,48,78,16,1,10,41,126,0.534,34,7,33,4,0.422,5,0,16-19
"Braden Montgomery, AM",0.322,61-61,236,65,76,14,1,27,85,173,0.733,53,5,59,3,0.454,1,0,5-7
"TJ McCants, UA",0.306,56-56,235,47,72,16,2,15,50,137,0.583,22,5,65,7,0.374,3,0,14-15
"Parker Noland, SC",0.252,61-61,234,45,59,12,0,3,33,80,0.342,41,10,59,3,0.383,2,2,5-8
"Charlie Condon, UG",0.433,60-60,231,84,100,20,1,37,78,233,1.009,57,12,41,4,0.556,4,0,3-4
"Amani Larry, MS",0.252,63-63,230,53,58,13,0,8,33,95,0.413,37,19,41,5,0.394,3,6,11-15
"Nick Lopez, UK",0.345,59-58,229,57,79,22,2,6,53,123,0.537,22,3,33,5,0.4,6,0,3-6
"Jared Jones, LS",0.301,66-66,229,56,69,14,2,28,59,171,0.747,59,6,76,0,0.454,1,0,3-3
"Davis Diaz, VU",0.248,61-60,226,44,56,10,0,7,39,87,0.385,30,6,44,4,0.35,1,2,4-6
"Hayden Travinski, LS",0.271,65-65,225,44,61,13,0,16,53,122,0.542,32,10,67,5,0.381,3,0,0-1
"Kolby Branch, UG",0.267,59-59,225,49,60,10,0,17,58,121,0.538,31,6,51,4,0.366,3,0,2-3
"Cole Messina, SC",0.326,59-59,224,64,73,19,1,21,71,157,0.701,50,10,67,6,0.465,2,0,8-11
"David Mershon, MS",0.347,58-58,222,60,77,12,2,6,41,111,0.5,41,6,38,3,0.454,4,3,27-30
"Steven Milam, LS",0.326,63-60,221,51,72,12,3,8,40,114,0.516,32,4,36,9,0.415,3,2,7-9
"Dean Curley, UT",0.285,67-66,221,51,63,10,1,12,50,111,0.502,31,9,47,5,0.386,6,1,9-10
"Ethan Petry, SC",0.306,61-61,219,57,67,8,1,21,53,140,0.639,51,18,73,3,0.471,1,0,4-6
"Gage Miller, UA",0.381,55-55,218,72,83,12,2,18,56,153,0.702,27,17,24,3,0.474,6,0,0-0
"Bryce Chance, MS",0.286,61-57,217,36,62,11,1,6,36,93,0.429,26,6,18,5,0.37,5,0,8-12
"Justin Lebron, UA",0.338,57-57,216,50,73,9,0,12,37,118,0.546,20,16,53,2,0.429,2,0,7-7
"Hunter Ensley, UT",0.296,68-60,216,45,64,15,0,12,48,115,0.532,27,7,48,5,0.39,1,1,4-8
"Ian Petrutz, UA",0.321,57-57,215,42,69,14,1,6,40,103,0.479,30,20,26,6,0.447,1,1,2-2
"Ted Burton, AM",0.284,63-62,215,46,61,13,1,9,44,103,0.479,51,9,54,3,0.438,1,0,11-12
"Ryan Waldschmidt, UK",0.333,59-55,213,66,71,17,0,14,46,130,0.61,41,16,45,1,0.469,3,0,25-32
"Michael Braswell Iii, LS",0.311,64-64,212,46,66,12,3,4,36,96,0.453,29,9,38,5,0.411,3,3,3-3
"Jonathan Vastine, VU",0.299,60-60,211,44,63,18,2,10,42,115,0.545,26,5,66,3,0.384,3,8,12-15
"Alan Espinal, VU",0.289,59-59,211,48,61,15,0,13,49,115,0.545,33,6,79,1,0.398,1,1,4-4
"Talmadge Lecroy, SC",0.242,62-60,211,45,51,8,1,3,28,70,0.332,38,14,56,6,0.389,2,3,0-0
"Ethan Groff, UM",0.258,56-55,209,41,54,11,1,5,25,82,0.392,29,7,54,1,0.361,4,2,15-15
